date,region_level,region,variable,value,source
2020-04-06,hospital_district,Southwest Finland Hospital District,cases,54.0,THL
2020-04-06,hospital_district,Vaasa Hospital District,cases,8.0,THL
2020-04-06,hospital_district,Åland,cases,2.0,THL
2020-04-13,hospital_district,All areas,cases,816.0,THL
2020-04-13,hospital_district,Central Finland Hospital District,cases,10.0,THL
2020-04-13,hospital_district,Central Ostrobothnia Hospital District,cases,0.0,THL
2020-04-13,hospital_district,Helsinki and Uusimaa Hospital District,cases,635.0,THL
2020-04-13,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-04-13,hospital_district,Kainuu Hospital District,cases,5.0,THL
2020-04-13,hospital_district,Kanta-Häme Hospital District,cases,9.0,THL
2020-04-13,hospital_district,Kymenlaakso Hospital District,cases,3.0,THL
2020-04-13,hospital_district,Lappi Hospital District,cases,6.0,THL
2020-04-13,hospital_district,Länsi-Pohja Hospital District,cases,29.0,THL
2020-04-13,hospital_district,North Karelia Hospital District,cases,4.0,THL
2020-04-13,hospital_district,North Ostrobothnia Hospital District,cases,11.0,THL
2020-04-13,hospital_district,North Savo Hospital District,cases,12.0,THL
2020-04-13,hospital_district,Pirkanmaa Hospital District,cases,14.0,THL
2020-04-13,hospital_district,Päijät-Häme Hospital District,cases,9.0,THL
2020-04-13,hospital_district,Satakunta Hospital District,cases,6.0,THL
2020-04-13,hospital_district,South Karelia Hospital District,cases,0.0,THL
2020-04-13,hospital_district,South Ostrobothnia Hospital District,cases,4.0,THL
2020-04-13,hospital_district,South Savo Hospital District,cases,1.0,THL
2020-04-13,hospital_district,Southwest Finland Hospital District,cases,54.0,THL
2020-04-13,hospital_district,Vaasa Hospital District,cases,4.0,THL
2020-04-13,hospital_district,Åland,cases,0.0,THL
2020-04-20,hospital_district,All areas,cases,719.0,THL
2020-04-20,hospital_district,Central Finland Hospital District,cases,8.0,THL
2020-04-20,hospital_district,Central Ostrobothnia Hospital District,cases,0.0,THL
2020-04-20,hospital_district,Helsinki and Uusimaa Hospital District,cases,597.0,THL
2020-04-20,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-04-20,hospital_district,Kainuu Hospital District,cases,12.0,THL
2020-04-20,hospital_district,Kanta-Häme Hospital District,cases,11.0,THL
2020-04-20,hospital_district,Kymenlaakso Hospital District,cases,3.0,THL
2020-04-20,hospital_district,Lappi Hospital District,cases,1.0,THL
2020-04-20,hospital_district,Länsi-Pohja Hospital District,cases,21.0,THL
2020-04-20,hospital_district,North Karelia Hospital District,cases,1.0,THL
2020-04-20,hospital_district,North Ostrobothnia Hospital District,cases,7.0,THL
2020-04-20,hospital_district,North Savo Hospital District,cases,2.0,THL
2020-04-20,hospital_district,Pirkanmaa Hospital District,cases,16.0,THL
2020-04-20,hospital_district,Päijät-Häme Hospital District,cases,8.0,THL
2020-04-20,hospital_district,Satakunta Hospital District,cases,2.0,THL
2020-04-20,hospital_district,South Karelia Hospital District,cases,0.0,THL
2020-04-20,hospital_district,South Ostrobothnia Hospital District,cases,0.0,THL
2020-04-20,hospital_district,South Savo Hospital District,cases,1.0,THL
2020-04-20,hospital_district,Southwest Finland Hospital District,cases,24.0,THL
2020-04-20,hospital_district,Vaasa Hospital District,cases,4.0,THL
2020-04-20,hospital_district,Åland,cases,1.0,THL
2020-04-27,hospital_district,All areas,cases,635.0,THL
2020-04-27,hospital_district,Central Finland Hospital District,cases,0.0,THL
2020-04-27,hospital_district,Central Ostrobothnia Hospital District,cases,0.0,THL
2020-04-27,hospital_district,Helsinki and Uusimaa Hospital District,cases,539.0,THL
2020-04-27,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-04-27,hospital_district,Kainuu Hospital District,cases,2.0,THL
2020-04-27,hospital_district,Kanta-Häme Hospital District,cases,13.0,THL
2020-04-27,hospital_district,Kymenlaakso Hospital District,cases,4.0,THL
2020-04-27,hospital_district,Lappi Hospital District,cases,1.0,THL
2020-04-27,hospital_district,Länsi-Pohja Hospital District,cases,14.0,THL
2020-04-27,hospital_district,North Karelia Hospital District,cases,0.0,THL
2020-04-27,hospital_district,North Ostrobothnia Hospital District,cases,6.0,THL
2020-04-27,hospital_district,North Savo Hospital District,cases,4.0,THL
2020-04-27,hospital_district,Pirkanmaa Hospital District,cases,17.0,THL
2020-04-27,hospital_district,Päijät-Häme Hospital District,cases,3.0,THL
2020-04-27,hospital_district,Satakunta Hospital District,cases,2.0,THL
2020-04-27,hospital_district,South Karelia Hospital District,cases,1.0,THL
2020-04-27,hospital_district,South Ostrobothnia Hospital District,cases,1.0,THL
2020-04-27,hospital_district,South Savo Hospital District,cases,1.0,THL
2020-04-27,hospital_district,Southwest Finland Hospital District,cases,25.0,THL
2020-04-27,hospital_district,Vaasa Hospital District,cases,2.0,THL
2020-04-27,hospital_district,Åland,cases,0.0,THL
2020-05-04,hospital_district,All areas,cases,575.0,THL
2020-05-04,hospital_district,Central Finland Hospital District,cases,3.0,THL
2020-05-04,hospital_district,Central Ostrobothnia Hospital District,cases,6.0,THL
2020-05-04,hospital_district,Helsinki and Uusimaa Hospital District,cases,465.0,THL
2020-05-04,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-05-04,hospital_district,Kainuu Hospital District,cases,1.0,THL
2020-05-04,hospital_district,Kanta-Häme Hospital District,cases,8.0,THL
2020-05-04,hospital_district,Kymenlaakso Hospital District,cases,1.0,THL
2020-05-04,hospital_district,Lappi Hospital District,cases,2.0,THL
2020-05-04,hospital_district,Länsi-Pohja Hospital District,cases,14.0,THL
2020-05-04,hospital_district,North Karelia Hospital District,cases,0.0,THL
2020-05-04,hospital_district,North Ostrobothnia Hospital District,cases,3.0,THL
2020-05-04,hospital_district,North Savo Hospital District,cases,5.0,THL
2020-05-04,hospital_district,Pirkanmaa Hospital District,cases,14.0,THL
2020-05-04,hospital_district,Päijät-Häme Hospital District,cases,17.0,THL
2020-05-04,hospital_district,Satakunta Hospital District,cases,0.0,THL
2020-05-04,hospital_district,South Karelia Hospital District,cases,3.0,THL
2020-05-04,hospital_district,South Ostrobothnia Hospital District,cases,7.0,THL
2020-05-04,hospital_district,South Savo Hospital District,cases,2.0,THL
2020-05-04,hospital_district,Southwest Finland Hospital District,cases,22.0,THL
2020-05-04,hospital_district,Vaasa Hospital District,cases,2.0,THL
2020-05-04,hospital_district,Åland,cases,0.0,THL
2020-05-11,hospital_district,All areas,cases,346.0,THL
